id,source_message_id,source,text
2214,1374470453-36,telegram,осенний семестр подходит к концу а это значит что стал известен график промежуточной аттестации а вместе с ней и зимних каникул промежуточная аттестация зач тная неделя и сессия с по с по нерабочие дни новогодние каникулы с по каникулы с по внимание декабря учебный день itmolnia base
2047,690947053-37973,telegram,из рекомендашки интересно оценить интересы пользователя кино музыка самокаты и рекомендовать ему акции скидки или события связанные с этим
6784,1415797768-225,telegram,спасибо 
5551,747877690-36656,telegram,у некоторых парней со следующей недели и до апреля начинается модуль с военной кафедрой и мы на ней вроде как должны присутствовать с до 
2372,1374470453-236,telegram,бакалавры курса не забудьте записаться в секцию по физре запись открыта в ису личный кабинет образование и наука физическая культура если вы обучаетесь в дистанционном формате вам также необходимо записаться на секцию в формате online для этого в разделе корпуса необходимо выбрать online список всех секций которые есть в университете смотрите тут 
744,423,other,к следующей среде принести готовый проект на тему россия страна возможностей 
5948,730317973-38960,telegram,а покажи пример работы совета по переносу события
1540,1267116842-97,telegram,всем привет в эту среду в пройдет русская версия deeppavlov communitycall на community callе мы в первую очередь обсудим новую версию библиотеки deeppavlov v которая выйдет в ближайшее время начало августа а также поговорим про первый рубеж наших студентов gsoc анастасия седова расскажет про свою часть работы над relation extraction основная цель проекта предоставить пользователю deeppavlov готовое решение для извлечения отношений сущностей в тексте добавляйте расписание с сcылкой на zoom в свой календарь http bit ly monthlydpcommunitycall re а подробнее о мероприятии читайте в нашем блоге https deeppavlov ai blog tpost vtxgnr y anons deeppavlov community call 
509,188,other,равительство мурманской области всемирные игры будущего объявляют конкурс направленный на развитие фиджитал спорта в регионах россии заявки на участие принимаются до июля года итоги конкурса будут подведены до августа 
3684,1154371210-36516,telegram,короче следующая задача по ранхигс будет сравнение фронтиров с указами президента там несколько проблем первая часть файлов это pdf в виде сканов документов вторая то что они на русском языке третья то что они могут быть размером в сотню страниц
7550,1415797768-1232,telegram,у нас во многих случаях аватар вмешивается в жизнь пользователя этот такой пограничный вопрос нужно будет время чтобы пользователь привык к своему цифровому помощнику
4168,1154371210-39212,telegram,с юлей и бэком
5913,730317973-38629,telegram,я узнаю
6632,1789531246-522,telegram,можно просто висеть
6120,730317973-39981,telegram,конкретной 
4875,932376745-30842,telegram,я бы ещ добавил обзор наборов данных и структурное сравнение моделей так обзор будет полнее и можно попробовать 
7596,1415797768-1278,telegram,я бы предложила отрисовать разные варианты и их обсудить
946,695584257-40152,telegram,фронт мобилка
7877,794092323-39891,telegram,исследование хотя бы на том материале который у нас есть мы с константином начали эту работу делать но пока на стопе https docs google com spreadsheets d muumegpod gcksz cjl gylfs mf edit usp sharing ouid rtpof true sd true
6502,1789531246-375,telegram,настя это в твою честь у нас барабаны на улице так забойно играют 
470,149,other,администрация василеостровского района приглашает жителей июля в на публичные слушания по проекту парка на смоленке и линейного парка 
3384,1154371210-35914,telegram,а что такое могу перезвонить через минут
3621,1154371210-36393,telegram,но это не обязательно если видел что то вдруг
7546,1415797768-1228,telegram,меня больше пугает ошибочная оценка когда не верное распознавание даст противоречивую рекомендацию
8176,1728550269-296,telegram,хорошо
229,1659341340.818479,slack,всем привет завтра будет созвон в по текущиму статусу задач если не удобно в это время пишите в обсуждении u nmcg pb u va q x u g ap hl 
5477,747877690-35219,telegram,честно признаюсь что мне хотелось бы провести пары с и до скорее всего закончим раньше сделаю опрос а ближе к делу посмотрим рома если получится уточнить у преподавателя буду очень благодарна 
2674,1154371210-32072,telegram,созвонимся сегодня примерно в если будет удобно есть пару вопросов насч т проекта газпрома 
1303,724974717-40832,telegram,лан я надеюсь мы не запутаемся потом просто я сейчас полностью картину пытаюсь понять по проекту и пока это плохо выходит
2757,1154371210-32515,telegram,не смотрел ссылки которые я скидывал я почекал несколько некоторые более менее а другие не очень
3765,1154371210-36940,telegram,ч т я не понял
3916,1154371210-37321,telegram,или ты не делал этого
935,695584257-40087,telegram, аналитика https avatar wq slack com archives c lg mm pq дизайн https avatar wq slack com archives c lr xny бэк https avatar wq slack com archives c mcj g rn ml https avatar wq slack com archives c m g htk психологи https avatar wq slack com archives c lntn u c для общения всей команды https avatar wq slack com archives c lg hbuna и для новых классных идей для будущих реализаций в т ч накидывание вдохновляющих референсов по дизайну https avatar wq slack com archives c mcl u n опционально для причастных доступны каналы маркетинга https avatar wq slack com archives c lntlh pm и архива общения предыдущей команды по бэку частично используемому сейчас https avatar wq slack com archives c nx f k a
6646,1789531246-539,telegram,да неплохая мы пару раз ходили
6666,1789531246-581,telegram,вроде как не могу в любом случае спасибо за обсуждение 
5503,747877690-35507,telegram,я своим написала 
3782,1154371210-36981,telegram,особенно если он способен на одной gpu настраивать модель
2548,1154371210-31241,telegram,https docs google com document d hpa eo eiwzes dyqxluzlfjjdoazcxe hjth qs edit usp sharing
3052,1154371210-34885,telegram,мне просто отправляй я подправлю презу
7347,1415797768-995,telegram,https vk com video 
2992,1154371210-34470,telegram,привет что нам получается делать на следующий отч т доработать что есть и запустить парсинг для новых результатов 
7650,1415797768-1338,telegram,про статусы у нас отдельная фича будет
3734,1154371210-36795,telegram, курс бакалавриата
7645,1415797768-1333,telegram,буду благодарен если скинете еще несколько диалогов а то мы не набрали и двух десятков за дня прикладываю скрин как эти диалоги выглядят у нас как говорил полная анонимность желательно скинуть более эмоциональные диалоги 
8386,615,other,сними пож к как будешь возвращаться с работы
4986,932376745-35368,telegram,привет скажи у тебя тд был заключен на дистанционный режим работы 
2973,1154371210-34391,telegram,привет
3008,1154371210-34706,telegram,привет если будешь свободен пойдешь голосовой в хочу задать пару вопросов про газпром
6420,1789531246-286,telegram,отлично alrem отпишись
4068,1154371210-37895,telegram,ты можешь его переносить уже
4982,932376745-34056,telegram,на этаж всм 
6841,1415797768-285,telegram,моя зарплата прямо как акции сбербанка сегодня
7233,1415797768-735,telegram,катя землянова сегодня защитилась на отлично ура все было так прекрасно что коммисия даже вопросы не придумала 
4950,932376745-33147,telegram,не за что 
269,1658909247.746479,slack,а что ты имеешь ввиду под вызовами 
5922,730317973-38649,telegram,спасибо насть 
8351,580,other,в течение первых двух недель вам необходимо связаться со своим научным руководителем и обсудить тематику диссертационного исследования 
794,473,other,иностранный язык
109,1659695797.320879,slack, u va q x спасибо да можно выделять приглашающего айдишник собеседника просто запоминаем получается же этого человека можно при автоматизированном заполнении добавлять в поле участники skin tone 
3459,1154371210-36021,telegram,но
6513,1789531246-388,telegram,идут
5210,400479101-35159,telegram,а вторая чем конкретно у всех должна между собой отличаться 
7920,1728550269-26,telegram,и отпишутся те кто не сможет
8304,1728550269-437,telegram,можно
804,483,other, января понедельник состоится экзамен устный по физике ауд ломоносова начало экзамена высылаю ссылку на таблицу с распределением по времени прихода на коллоквиум https docs google com spreadsheets d qa brlfqk gzwuzd oyywqcbk ypx dbhvxrbohh edit gid 
7564,1415797768-1246,telegram,к нормализации общения если они сами яростно идут на конфликт то это их не остановит 
648,327,other, ого июня в будет дискотека приходи потанцуем
3514,1154371210-36077,telegram,я скину пример
3109,1154371210-35081,telegram,ахах забавные диалоги
5142,400479101-33667,telegram,привет как я понял да
1953,636348152-36311,telegram,хорошо тогда я пока его делаю 
3726,1154371210-36695,telegram,то есть две задачи личность и it
2663,1154371210-31991,telegram,можно
4202,1154371210-39852,telegram,а что то из того списка видоизменить или убрать если думаем что это будет плохо работать или тяжело сделать
8124,1728550269-238,telegram,там и аналитика есть но не в цифрах по поводу api нужно посмотреть
6381,1789531246-247,telegram,можете что хотите со мной делать но у меня только футболка лиловая есть но ее стирать надо
4387,780658709-30760,telegram,его сначала в черновики или сразу в папку грузить 
3214,1154371210-35609,telegram,самое частое просто
1796,636348152-34444,telegram,а понял
3014,1154371210-34712,telegram,хорошо 
4076,1154371210-37920,telegram,пока заполнял faq появились ещ такие вопросы как лучше форматировать в тексте списки просто переводом строки смотрел как это делается в самом faq но там где то слитно информация написана где то длинная строка пробелов что делать с целями там длинный пример диалога насч т формулирования и создания целей
1714,636348152-33321,telegram, samigulin это самостоятельно придумывается удк 
5323,400479101-38511,telegram,просто ч т у тебя по бигдате какая то странная ситуация в общей таблице ты не закрыл его и при этом не написано осень 
5154,400479101-33680,telegram,ну короче да как говорится вс по образу и подобию 
8338,567,other,те кто не присылал доделывает отчет презу и отзыв присылайте сегодня и завтра в течение дня до чтобы все успели загрузить в ису и вы со спокойной душой готовились к защите и настраивались на отдых 
1661,636348152-33263,telegram,гугл док подойд т 
6642,1789531246-535,telegram,слово упомярнутое перед именем пишетсяч с большой буквы 
3284,1154371210-35700,telegram,все отлично по стате можешь только последную таблицу еще дополнить немного чтобы дополнительно считалось кол во выделеных размеров весов стоймостей и тд для каждого мтр
450,129,other,привет хочу позвать тебя на свидание в мариинском саду в надеюсь мы сможем хорошо провести время вместе 
3373,1154371210-35873,telegram,плюс в некоторых случаях сложно определить еи вроде там не у всех были указаны еи только числа 
1214,724974717-40728,telegram,заметки в одинаковом виде есть в дневнике ленте сообщениях пространствах
3699,1154371210-36531,telegram,кратко но все
6913,1415797768-366,telegram,может это подарок 
7991,1728550269-102,telegram,да конечно
2631,1154371210-31936,telegram,я построил бота на основе rugpt но пока он не да т ничего осмысленного я пытался обмануть его и заставить генерировать ответы в диалоге но он начинал генерировать целый диалог от лица автора в теории если хорошо обрезать то можно получить даже какой то осмысленный диалог а так скорее всего нужно дообучать ранжировать ответы сначала попробую rudialogpt возможно там уже вс это сделано из коробки
419,98,other,приглашаю тебя к себе на др ого января у меня дома очень очень ждуууу
5745,1522012683-113,telegram,ирония лжи или с легкой правдой первого апреля никому не верю а могут ли технологии искусственного интеллекта помочь отличить правду от лжи сотрудники исследовательской лаборатории когнитивная невербалика нцкр университета итмо утверждают что могут и хотят доказать вам это с помощью разработанной технологии цифрового профайлинга апреля года состоится первая игра ирония лжи или с легкой правдой в ходе которой вы сможете рассказать свою увлекательную и захватывающую историю о студенческой жизни приглашенному эксперту если он в не не поверит даже с помощью разработанной технологии вас жд т интересный подарок нашим первым приглашенным экспертом будет декан фцт сем н краев поэтому спешите поучаствовать в игре и ваша быть может и не совсем правдивая история даст старт новым начинаниям на факультете для участия в первой и последующих играх необходимо пройти регистрацию дата время и место проведения указаны на постере к новости ждем всех 
7641,1415797768-1329,telegram,да вы правильно поняли
3020,1154371210-34753,telegram,поэтому на эту неделю я предложил сказать им что мы тестировали все наши модули
6135,730317973-40008,telegram,например у сообщения красная рамка значит оно агрессивное
6196,1789531246-21,telegram,это кибербулинг
5273,400479101-37593,telegram,всего разделов вроде
7151,1415797768-639,telegram,сделано 
6418,1789531246-284,telegram,тоже дома доброй ночи 
3496,1154371210-36059,telegram,думаю да а в каком виде и к когда к завтра 
2856,1154371210-33131,telegram,как я не игрался с yargy смог у всех собранных деталей выделить только название в основном первое слово лишь у некоторых получилось выделить номер оборудование или производителя попробовал по выделенным сущностям пофильтровать ссылки в итоге все подошли скорее всего по причине малого количества сущностей то что смог выделить прикладываю 
5935,730317973-38781,telegram, samigulin тимур с сегодняшнего дня в помощь олегу в наши ряды mlщиков вступил дима kirpad в данный момент он продолжает совершенствовать и доводить до ума свое тестовое задание прикрепляю текст задания по поводу технической реализации советов и направляющих прошу тебя его консультировать о о сказал что тебе можно поручить это дело теперь как лиду всех mlщиков лабы 
5903,730317973-38592,telegram,ну что то точно знает
5301,400479101-38197,telegram,олег привет извини что отвлекаю в воскресенье просто у нас завтра послезавтра проверка работ за май данный пункт ты реализовывал подскажи пожалуйста насколько к завтра послезавтра это будет готово к демонстрации руководству нцкр 
7581,1415797768-1263,telegram,я согласен не только у нас а вообще ни одной компании в мире сейчас нет возможности давать советы все люди уникальны и с каждым человеком может быть свой уникальный стиль общения более менее точно у нас может определяться агрессия токсичность поэтому думаю нужно давать советы и рекомендации максимально ненавязчиво чтобы не отвлекать пользователя чтобы он не сильно обращал внимания на ошибки но получал действительно полезные и важные советы при верном определении эмоций и это его не отвлекало и не раздражало
4495,780658709-31368,telegram, khlyupina n peter switc zer deck anmedvedev vand sik aayamoldin lameus umnov yua mikha lsorokin alex m strategka tinashu предлагаю собраться сегодня и попробовать ваши презентации и речь защиты прогнать
5499,747877690-35395,telegram,файлы
2899,1154371210-33233,telegram,надо на конференции кму выступить для лаборатории и для нир
5581,747877690-37058,telegram,на подготовку все равно будет час
300,1659096014.178959,slack,вопрос является ли телеметрией временные тригеры нахождения пользователя в приложении там задача есть не отправлять сообщения в сторонние мессенджеры когда пользователь в аватаре и при входе это понятное дело мы на сервер получаем что он вош л но когда он переходит в другое приложение не закрывая аватар просто я не помню если ли такие тригеры и нужны ли они нам вообще u qutqt bf подскажи может ошибаюсь
5431,747877690-34381,telegram,https docs google com spreadsheets d dqfaaljydw gqplb lpgpe fjpa bwbvbxycm pniq edit usp sharing
7296,1415797768-807,telegram,друзья мои пропуская некоторые подробности связанные с медицинской тайной констатирую следующее юле поставили диагноз пищевое отравление и отпустили домой куда я е сейчас и отвезу состояние у не лучше чем было с утра к сожаленью из за того что мне до вас добираться часа пробки стали еще больше мо прибытие на базу отдыха теряет смысл надеюсь мо отсутствие компенсируют хорошая компания отличная погода свежий воздух бурная река вкусная еда и организаторы в лице насти ф и владимира алексеевича отдыхайте и наслаждайтесь поскольку у этого выезда был повод и даже не один то хотел бы немного сказать об этом уж извините что не очно с бокалом безалкогольного пива во первых отмечаем мы сегодня день образования нашей лаборатории о ней я писал в нашем телеграм канале а иннокентий продолжает писать в нашем сообществе в вк сегодня же хотелось бы отметить что лаборатории не было бы как и не было бы сегодняшнего выезда если не было бы всех вас поэтому мой первый тост за вас во вторых сегодня мы чествуем наших выпускников сашу i llseeyouonthedarksideofthemoon тимура samigulin таню archikot и катю zemkatya удачи вам ребята на новой ступени вашей жизни пусть вс у вас получается ну и в третьих хотелось бы принять в наш дружный коллектив новых сотрудников диму kirpad никиту к mrcooltg настю б анастасия данилу которому я сегодня разрешил не присутствовать на выезде ввиду выполнения особого задания валерию пусть и одной ногой но уже от души нашу ну и конечно владимира алексеевича va zhilin ребят уверен с вами мы добь мся еще больших успехов p s ну и еще один сюрприз многие из вас хотели видеть олега strategka получайте 
5741,1522012683-108,telegram,уважаемые студенты завтра первая лекция начнется не в а в для всех групп практики тоже не будет она перенесена на детали будут даны на лекциях лекции будут идти до к сожалению в официальном расписании допущены критические ошибки с наложением дисциплин по временным слотам поэтому следовать ему проблематично просьба всем передать данную информацию новая ссылка на лекцию в факультет цифровых трансформаций приглашает вас на запланированную конференцию zoom тема технологии больших данных перенос насонов д а время февр москва подключиться к конференции zoom https us web zoom us j pwd q pumctdzkncugorejjmwhzwd lrqt идентификатор конференции код доступа 
3856,1154371210-37256,telegram,виртуальное окружение короче но именно через python 
5561,747877690-37017,telegram,пишете билеты
1670,636348152-33272,telegram,а можешь сориентировать по времени когда сможешь закончить 
1910,636348152-36181,telegram,могу но он не на it тему
6079,730317973-39824,telegram,я могу
1114,724974717-40487,telegram,да
1458,1267116842-14,telegram,всем привет в прошлую пятницу в мфти состоялись защиты диссертаций на соискание ученой степени кандидата наук юрий куратов исследователь проекта deeppavlov и капитан команды dream alexaprize socialbot grand challenge успешно защитил кандидатскую диссертацию по теме специализация языковых моделей для применения к задачам обработки естественного языка подробнее о работе можно узнать по ссылке идрис юсупов участник команды dream alexa prize socialbot grand challenge успешно защитился по теме контекстный диалоговый агент подробнее о работе можно узнать по ссылке 
530,209,other,друзья приглашаем вас на лекцию от художника искусствоведа елены мироновой на тему природа отраженная в декоре арт центр пушкинская лиговский пр д корпус в этаж июля с до 
3055,1154371210-34888,telegram,думаю за минут управлюсь
3534,1154371210-36132,telegram,фамилии пока не менял
4402,780658709-30800,telegram,да места уже активно занимают
7513,1415797768-1192,telegram,видимо
5765,730317973-38324,telegram,и чтобы юле не писать то мне то олегу
8257,1728550269-388,telegram,оф список редких заболеваний от минздрава 
1337,724974717-40878,telegram,выполни ещ раз команды из ридми может в этом проблема
5241,400479101-37393,telegram,привет последняя версия говорилки умела только говорить к концу апреля мы с тимуром выяснили что нужна не просто говорилка а бот со множеством навыков тогда же мы начали его разработку сейчас почти дописана архитектура бота с поддержкой множества скиллов к вечеру вероятно уже будет выложена в репозиторий и уже будем делать навыки из навыков я слышал будет нужен прогноз погоды и связь с календарем кроме самого навыка общения но точный набор ещ не видел о не знаешь как раз есть ли точный набор нужных навыков 
2739,1154371210-32273,telegram, запушил пока более менее работающий поиск по гуглу с страницы он не читает некоторые ссылки так как они сгенерированы js но я уже нашел решение нужно одно расширение установить и настроить чем я и займусь по yandex летит connection refused пока не понял что не так разбираюсь кода пока немного так как большую часть я удалил из за того что он не работал мне обрубят электричество с до но я смогу созвониться примерно в с утра если будешь свободен
5493,747877690-35373,telegram,https itiviti zoom us j pwd zjc quh nw zk padvsmnjhtdltut 
2972,1154371210-34388,telegram,код тоже запушил
253,1658147305.406529,slack,интересная ошибка пробовал через sudo 
6379,1789531246-245,telegram,ловко ты
7074,1415797768-555,telegram,биометрическая система социально психологического мониторинга https realnewvision ru rec 
5784,730317973-38348,telegram,no emotion joy sadness surprise fear anger
2585,1154371210-31610,telegram,парсинг получается 
7077,1415797768-559,telegram, а теплее и душевнее в нашем коллективе будет не только из за соблюдения указанных правил и уважительного отношения друг к другу но и благодаря мероприятиям направленным на сплочение коллектива одно из них планируется в июне в честь дня рождения нашей лаборатории подробности озвучит настя ф на следующей неделе после согласования с владимиром алексеевичем благодарю за внимание желаю всем хорошей и результативной рабочей недели 
7627,1415797768-1311,telegram,вот нашел что можно онлайн porofessor использовать
6808,1415797768-251,telegram,не понимаю где он
5558,747877690-37013,telegram,друзья жд м завтра тех кто решился сдавать экзамен очно для остальных организуем экзамен в зуме 
6139,730317973-40013,telegram, strategka только события из новостей мне уже ответили
1043,724974717-40301,telegram,а фронтовики есть то у нас 
4673,780658709-33183,telegram,залетайте в тема консультация нир подключиться к конференции zoom https us web zoom us j pwd rk frefxafpdt bzztjcmk rehfeqt идентификатор конференции код доступа 
6048,730317973-39540,telegram,привет будет удобно ближе к часам 
3805,1154371210-37004,telegram,а что за проект уже известно а то интересно 
5407,747877690-34355,telegram,составьте список сами
4037,1154371210-37755,telegram,попросили на перенести
755,434,other,уважаемые студенты групп м если кто то пропустил и не сделал какое то задание или тест или не набрал порогового минимума за первую или вторую кт он может их пройти июня с до 
1646,636348152-33244,telegram,олег привет 
4370,780658709-30448,telegram,у вас в ису есть официальное название данной практики что красным написано 
638,317,other,сбор гостей на мероприятие с начало показа концерта с dj set с необходимо сегодня написать и всех оповестить
4216,1154371210-39914,telegram,сможешь еще раз созвониться сейчас если что помочь по самому чат боту подсказать
7361,1415797768-1013,telegram,дождь всю неделю можешь данные тоже не ждать 
549,228,other,ресторан изюм жду тебя на своем дне рождения в 
5650,1522012683-8,telegram, уже совсем скоро в начнется онлайн трансляцию лекции декана мегафакультета трансляционных информационных технологий александра валерьевича бухановского для студентов курса мегафакультета подключайтесь к прямой трансляции в youtube https youtu be ktntmwzf po тема название лекции в чем сила брат или как искусственный интеллект побеждает естественную лень начало в сентября г 
6542,1789531246-418,telegram,ты кому 
5757,1522012683-126,telegram,уважаемые студенты крайний срок загрузки отчетов по нир в ису модуль практика июня пожалуйста заполняйте индивидуальные задания на семестр 
6787,1415797768-228,telegram,дамы всех с праздником 
3631,1154371210-36403,telegram,но это не обязательно если видел что то вдруг
8121,1728550269-235,telegram,если да то это прям чудесный вариант
947,695584257-40153,telegram,флаттер
5652,1522012683-10,telegram,уважаемые студенты на первой учебной неделе нового семестра мы расскажем вс что нужно знать о семестровом обмене краткосрочных программах академической мобильности иностранных языках buddy system а также study abroad at home как поехать за границу на целый семестр как получить софинансирование поездки как стать лучшим другом студента иностранца как повысить уровень английского языка прямо в стенах университета итмо приходите на встречу и вс узнаете когда сентября г в где в teams больше информации в нашей группе в контакте https vk com itmo exchange
2679,1154371210-32078,telegram,это для отчета нужно
6608,1789531246-493,telegram,фантаз р
7702,1415797768-1404,telegram,тебе маша его прислала 
1342,724974717-40885,telegram,все щас в админке появились базы
4780,780658709-38838,telegram, 
3497,1154371210-36060,telegram,пока ладно гугл use дал хорошую точность мне кажется это будет лучше чем частота ключевых слов
1533,1267116842-90,telegram,подключаемся к deeppavlov communitycall https youtu be asspnqb sug
4396,780658709-30779,telegram,проверьте ещ раз соответствие оформления шаблону который вам предоставила климова александра https drive google com drive u folders f upnw xopsjksymyxngvwsa ydr g
767,446,other,сделать английский к му апреля аb устно с письменно
5523,747877690-35821,telegram,если кто то научится жонглировать десятью шарами можно поделиться оценкой с другом
564,243,other,нужно срочно увеличить количество сделок менеджеров на используя технологию личных продаж 
7190,1415797768-687,telegram,пока достаточно раздела рабочее время 
4057,1154371210-37883,telegram,готов 
1281,724974717-40804,telegram,зум сдачи мобилки будет в кто хочет подключайтесь ссылка https us web zoom us j pwd vdbsqxvlvmfismnwykvxnmtxc x ut 
5233,400479101-36326,telegram,правда оба случая я пока не реализовал для первого ещ не собрали достаточно большой набор данных а второе пока делаю для ранжировки ответов
138,1659713489.031629,slack,затем новостные телеграмм каналы для сбора событий
1907,636348152-36178,telegram,просто без примеров работы как то сухо будет наверное 
7478,1415797768-1154,telegram,хорошо но я все равно посмотрю насколько это реализуемо так как возможно мы могли бы собрать обратную связь от пользователя по верности определения эмоций
316,1658490234.113209,slack, u p s l n можете уточнить еще раз по срокам оформления презентации для ани пожалуйста 
3870,1154371210-37270,telegram,здесь работа с базой ну и вся основная логига https github com avatar project user api tree main app libs mongo
70,1658503929.792479,slack, u p h s да передали просто я сразу погрузился в доработку алгоритма поэтому не сразу отписался прощу прощения
2938,1154371210-33593,telegram,да увидел
2172,690947053-38127,telegram,ну алина сегодня напишет
3101,1154371210-35073,telegram,в ноушине поудаляли всех кроме аналитиков
8122,1728550269-236,telegram,хотя я вижу у них на сайте про api инфу только по вакансиям про резюме не вижу 
3854,1154371210-37254,telegram,чтобы установить зависимости
5195,400479101-35111,telegram,крч допса 
8012,1728550269-123,telegram,красивое
432,111,other,так же приглашаем на игру в понедельник июля в 
5495,747877690-35375,telegram,эта ссылка
4108,1154371210-38286,telegram,отлично думаю ты прав по поводу и пункта это улучшит скорее всего качество
8000,1728550269-111,telegram,выглядит как решение
598,277,other,в эту субботу июля в мы приглашаем вас на лекцию и просмотр фильма п тр кинопоказ посвящ н летию со дня рождения русского императора показ будет проходить в арт лаборатории эхо по адресу кадетская линия к д ст м василеостровская 
1354,724974717-40898,telegram,вот так получилось
7306,1415797768-944,telegram,а чтобы это не затерялось володь va zhilin нужно их сохранить в локальное хранилище или на нашу шару рогозин недавно выдал 
2773,1154371210-32537,telegram,просто рабочая задача в приоритете
1695,636348152-33300,telegram,сейчас
4631,780658709-31766,telegram,я ещ не загрузил
3714,1154371210-36683,telegram,а хорошо мне кажется ты слишком подробный план начал расписывать 
4897,932376745-31024,telegram,а хорошо 
2587,1154371210-31612,telegram,вот по сути тех задание
4750,780658709-38706,telegram,то есть преза тоже к числу д б готова 
